#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

##gamerule
ANIMALS_APPEARANCE;Animal appearance ways;Mode d'apparition des animaux;;;;;;;;;;;;;x
RULE_OPTION_DECISION_MOD;Decision;Décision;;;;;;;;;;;;;x
RULE_OPTION_DECISION_MOD_DESC;You can choose to launch animal conversion quest by decision. It makes easier the use of the mod;Il est possible de lancer la quête de conversion animal par décision. Cela donne facilement l'accès aux fonctionnalités du mod.;;;;;;;;;;;;;x
RULE_OPTION_EVENTS_MOD;Events;Évènements;;;;;;;;;;;;;x
RULE_OPTION_OFF_MOD;None;Aucune;;;;;;;;;;;;;x
RULE_OPTION_EVENTS_MOD_DESC;Only randoms events can launch animal quest decision. Makes harder to become an animal but IAs still has chances to become animals;Seuls des évènements aléatoires permettent de lancer la quête de conversion animale. Ce qui fait qu'il est plus dur de devenir un animal, mais peut créer plus d'animaux chez les IAs.;;;;;;;;;;;;;x
RULE_OPTION_OFF_MOD_DESC;No transformation into animals (usually if played in alternate start where animals already exist);Aucune conversion possible (principalement si on charge une sauvegarde alternative où il y a déjà des animaux);;;;;;;;;;;;;x
RULE_OPTION_INSTANT_MOD;Instant;Instantanée;;;;;;;;;;;;x
RULE_OPTION_INSTANT_MOD_DESC;The quest decision now instantly convert player to an animal but can't be picked by AI;La décision converti instantanément en animal mais ne peut plus être choisi par l'IA;;;;;;;;;;;;x
RULE_ANIMALS_LEVY;Animal conversion army;Armée bonus de conversion animal;;;;;;;;;;;;x
RULE_NO_ANI_LEVY;None;Aucune;;;;;;;;;;;;x
RULE_NO_ANI_LEVY_DESC;Convert yourself to an animal religion is easy? Then no helping army nedded;Se convertir à une religion animale est facile, donc je n'en ai pas besoin;;;;;;;;;;;;x
RULE_ANI_LEVY_1500;small army;Petite armée;;;;;;;;;;;;x
RULE_ANI_LEVY_1500_DESC;Having a small army to help during transformation to help you defend against non-animal AI;On récupère une petite armée à la conversion en religion animal, pour nous assister lors de notre défense face à l'IA non animale;;;;;;;;;;;;x
RULE_ANI_LEVY_4000;Normal army;Armée normale;;;;;;;;;;;;x
RULE_ANI_LEVY_4000_DESC;Having a army to help during transformation to help you defend against non-animal AI;On récupère une armée à la conversion en religion animal, pour nous assister lors de notre défense face à l'IA non animale;;;;;;;;;;;;x
RULE_ANI_LEVY_10000;Big army;Grosse armée;;;;;;;;;;;;x
RULE_ANI_LEVY_10000_DESC;Having a big army to help during transformation to help you defend against non-animal AI;On récupère une grosse armée à la conversion en religion animal, pour nous assister lors de notre défense face à l'IA non animale;;;;;;;;;;;;x


##laws
panda_vassal_allowed;Bureaucratic vassals;Vassaux bureaucratique;;;;;;;;;;;;x
panda_vassal_unallowed;None;Aucun;;;;;;;;;;;;x
panda_vassal_unallowed_desc;The only vassal allowed are the barons;Les seuls vassaux tolérés sont les barons;;;;;;;;;;;;x
panda_vassal_count_allowed;Count allowed;Comtes autorisés;;;;;;;;;;;;x
panda_vassal_count_allowed_desc;Only panda bureaucratic count are allowed to stay in your realm;Seul les comtes panda et bureaucratiques sont autorisé à rester vassal;;;;;;;;;;;;x
panda_vassal_all_allowed;Any;Total;;;;;;;;;;;;x
panda_vassal_all_allowed_desc;Any panda bureaucratic vassal are allowed in your realm;Tous type de vassaux panda bureaucratiques sont autorisés dans le royaume;;;;;;;;;;;;x
panda_expension_size;Realm expension;Expension du domaine;;;;;;;;;;;;x
panda_expension_size_law;Small;Petite;;;;;;;;;;;;x
panda_expension_size_law_desc;Small expension allowed;Petite expension autorisé;;;;;;;;;;;;x
panda_expension_size_medium;Medium;Moyenne;;;;;;;;;;;;x
panda_expension_size_medium_desc;Medium expension allowed;Moyenne expension autorisé;;;;;;;;;;;;x
panda_expension_size_huge;Big;Grande;;;;;;;;;;;;s
panda_expension_size_huge_desc;Big expension allowed;Grande expension autorisé;;;;;;;;;;;;x

dog_unity_laws;Cultural unity;Unité culturel;;;;;;;;;;;;x
dog_unity_laws_desc;Those law are used to authorize a dog ruler to promote cultural unity inside is land;Ces lois sont faite pour permettre à un dirigeant chien de promouvoir l'unité culturel au sein de ses terres;;;;;;;;;;;;x
dog_unity_county_conv;County;Comté;;;;;;;;;;;;x
dog_unity_county_conv_desc;Allow county cultural unity improvment;Permet l'unité culturel au sein d'un comté;;;;;;;;;;;;x
dog_unity_character_conv;Humans;Humains;;;;;;;;;;;;x
dog_unity_character_conv_desc;Allow cultural unity in your court;Permet l'unité culturel au sein de votre court;;;;;;;;;;;;x
dog_unity_reputation_cost;Price;Prix;;;;;;;;;;;;x
dog_unity_reputation_cost_desc;Allow to force unity without using prestige or wildness;Permet d'unir le peuple sans utiliser de prestige ou de piété;;;;;;;;;;;;x
dog_political_laws;political interest;Intérêt politique;;;;;;;;;;;;x
dog_political_laws_desc;This law characterize the politic focus a dog noble put in ruling;Cette lois caractérise l'implication politique du chien dirigeant;;;;;;;;;;;;x
dog_economic_laws;economic interest;Intérêt économique;;;;;;;;;;;;x
dog_economic_laws_desc;This law characterize the economic focus a dog noble put in ruling;Cette lois caractérise l'implication économique du chien dirigeant;;;;;;;;;;;;x
dog_war_laws;military interest;Intérêt militaire;;;;;;;;;;;;x
dog_war_laws_desc;This law characterize the military focus a dog noble put in ruling;Cette lois caractérise l'implication militaire du chien dirigeant;;;;;;;;;;;;x
dog_law_politic_0;Minimal politic interest;Intérêt politique minimal;;;;;;;;;;;;x
dog_law_politic_0_option;None;Aucun;;;;;;;;;;;;x
dog_law_politic_0_desc; ;;;;;;;;;;;;;x
dog_law_politic_1;Small politic interest;Intérêt politique petit;;;;;;;;;;;;x
dog_law_politic_1_option;Small;Petite;;;;;;;;;;;;x
dog_law_politic_1_desc; ;;;;;;;;;;;;;x
dog_law_politic_2;Normal politic interest;Intérêt politique normal;;;;;;;;;;;;x
dog_law_politic_2_option;Normal;Normal;;;;;;;;;;;;x
dog_law_politic_2_desc; ;;;;;;;;;;;;;x
dog_law_politic_3;High politic interest;Intérêt politique élevé;;;;;;;;;;;;x
dog_law_politic_3_option;High;Élevé;;;;;;;;;;;;x
dog_law_politic_3_desc; ;;;;;;;;;;;;;x
dog_law_politic_4;Important politic interest;Intérêt politique important;;;;;;;;;;;;x
dog_law_politic_4_option;Important;Important;;;;;;;;;;;;x
dog_law_politic_4_desc; ;;;;;;;;;;;;;x
dog_law_economic_0;Minimal economic interest;Intérêt économique minimal;;;;;;;;;;;;x
dog_law_economic_0_option;None;Aucun;;;;;;;;;;;;x
dog_law_economic_0_desc; ;;;;;;;;;;;;;x
dog_law_economic_1;Small economic interest;Intérêt économique petit;;;;;;;;;;;;x
dog_law_economic_1_option;Small;Petite;;;;;;;;;;;;x
dog_law_economic_1_desc; ;;;;;;;;;;;;;x
dog_law_economic_2;Normal economic interest;Intérêt économique normal;;;;;;;;;;;;x
dog_law_economic_2_option;Normal;Normal;;;;;;;;;;;;x
dog_law_economic_2_desc; ;;;;;;;;;;;;;x
dog_law_economic_3;High economic interest;Intérêt économique élevé;;;;;;;;;;;;x
dog_law_economic_3_option;High;Élevé;;;;;;;;;;;;x
dog_law_economic_3_desc; ;;;;;;;;;;;;;x
dog_law_economic_4;Important economic interest;Intérêt économique important;;;;;;;;;;;;x
dog_law_economic_4_option;Important;Important;;;;;;;;;;;;x
dog_law_economic_4_desc; ;;;;;;;;;;;;;x
dog_law_war_0;Minimal military interest;Intérêt militaire minimal;;;;;;;;;;;;x
dog_law_war_0_option;None;Aucun;;;;;;;;;;;;x
dog_law_war_0_desc; ;;;;;;;;;;;;;x
dog_law_war_1;Small military interest;Intérêt militaire petit;;;;;;;;;;;;x
dog_law_war_1_option;Small;Petite;;;;;;;;;;;;x
dog_law_war_1_desc; ;;;;;;;;;;;;;x
dog_law_war_2;Normal military interest;Intérêt militaire normal;;;;;;;;;;;;x
dog_law_war_2_option;Normal;Normal;;;;;;;;;;;;x
dog_law_war_2_desc; ;;;;;;;;;;;;;x
dog_law_war_3;High military interest;Intérêt militaire élevé;;;;;;;;;;;;x
dog_law_war_3_option;High;Élevé;;;;;;;;;;;;x
dog_law_war_3_desc; ;;;;;;;;;;;;;x
dog_law_war_4;Important military interest;Intérêt militaire important;;;;;;;;;;;;x
dog_law_war_4_option;Important;Important;;;;;;;;;;;;x
dog_law_war_4_desc; ;;;;;;;;;;;;;x
dog_council_laws;Extended council;Conseil étendu;;;;;;;;;;;;x
dog_council_laws_desc;As a dog, you can name councillors to lower your some dog's restrictions;En tant que chien, tu as la possibilité de nommer de nouveaux conseillés pour réduire les différentes complications lié au conseil;;;;;;;;;;;;x
dog_law_war_council;Military councillor;Conseiller militaire;;;;;;;;;;;;x
dog_law_war_council_option;Military;Militaire;;;;;;;;;;;;x
dog_law_war_council_desc;Allow a new councillor to generate more troops from its liege domains;Permet au conseillé de former plus de troupes dans le domaine de son seigneur;;;;;;;;;;;;x
dog_law_eco_council;Economic Councillor;Conseiller économique;;;;;;;;;;;;x
