#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

###beta version building
ca_horse_stable_1;Barn;Étable;;;;;;;;;;;;x
ca_horse_stable_2;Barn;Étable;;;;;;;;;;;;x
ca_horse_stable_3;Barn;Étable;;;;;;;;;;;;x
ca_horse_archer_1;Archery;Archerie;;;;;;;;;;;;x
ca_horse_archer_2;Archery;Archerie;;;;;;;;;;;;x
ca_horse_archer_3;Archery;Archerie;;;;;;;;;;;;x
ca_horse_armor_1;Armory;Armurerie;;;;;;;;;;;;x
ca_horse_armor_2;Armory;Armurerie;;;;;;;;;;;;x
ca_horse_retinue_1;Horse clan;Clan des chevaux;;;;;;;;;;;;x
ca_horse_retinue_2;Horse clan;Clan des chevaux;;;;;;;;;;;;x
ca_horse_garrison_1;Increased garrison;Garnison amélioré;;;;;;;;;;;;x
ca_horse_garrison_2;Increased garrison;Garnison amélioré;;;;;;;;;;;;x
ca_horse_speciality;Speed guild;Guilde de vitesse;;;;;;;;;;;;x
ca_dragon_fortification_1;Thorny fortification;Fortification épineuse;;;;;;;;;;;;x
ca_dragon_fortification_2;Thorny fortification;Fortification épineuse;;;;;;;;;;;;x
ca_dragon_fortification_3;Thorny fortification;Fortification épineuse;;;;;;;;;;;;x
ca_dragon_treasury_1;Treasure Guards;Gardiens du trésor;;;;;;;;;;;;x
ca_dragon_treasury_2;Treasure Guards;Gardiens du trésor;;;;;;;;;;;;x
ca_dragon_treasury_3;Treasure Guards;Gardiens du trésor;;;;;;;;;;;;x
ca_dragon_stable_1;Barn;Étable;;;;;;;;;;;;x
ca_dragon_stable_2;Barn;Étable;;;;;;;;;;;;x
ca_dragon_retinue_1;Dragon clan;Clan des dragons;;;;;;;;;;;;x
ca_dragon_retinue_2;Dragon clan;Clan des dragons;;;;;;;;;;;;x
ca_dragon_archery_1;Archery;Archerie;;;;;;;;;;;;x
ca_dragon_archery_2;Archery;Archerie;;;;;;;;;;;;x
ca_dragon_speciality;Treasury's guilde;Guilde du trésor;;;;;;;;;;;;x


####Bear update building
ca_ani_castle_tower_01;Animal central tower I;Tour centrale animalière I;;;;;;;;;;;;x
ca_ani_castle_tower_02;Animal central tower II;Tour centrale animalière II;;;;;;;;;;;;x
ca_ani_castle_tower_03;Animal central tower III;Tour centrale animalière III;;;;;;;;;;;;x
ca_ani_castle_tower_04;Animal central tower IV;Tour centrale animalière IV;;;;;;;;;;;;x
ca_ani_castle_tower_05;Animal central tower V;Tour centrale animalière V;;;;;;;;;;;;x
ca_ani_castle_tower_06;Animal central tower VI;Tour centrale animalière VI;;;;;;;;;;;;x
ca_ani_castle_tower_07;Animal central tower VII;Tour centrale animalière VII;;;;;;;;;;;;x
ca_ani_castle_tower_08;Animal central tower VIII;Tour centrale animalière VIII;;;;;;;;;;;;x
ca_ani_castle_tower_09;Animal central tower IX;Tour centrale animalière IX;;;;;;;;;;;;x
ca_ani_castle_tower_10;Animal central tower X;Tour centrale animalière X;;;;;;;;;;;;x
ca_ani_castle_tower_11;Animal central tower XI;Tour centrale animalière XI;;;;;;;;;;;;x
ca_ani_castle_tower_12;Animal central tower XII;Tour centrale animalière XII;;;;;;;;;;;;x
ca_ani_castle_tower_13;Animal central tower XIII;Tour centrale animalière XIII;;;;;;;;;;;;x
ca_ani_castle_tower_14;Animal central tower XIV;Tour centrale animalière XIV;;;;;;;;;;;;x
ca_ani_castle_tower_15;Animal central tower XV;Tour centrale animalière XV;;;;;;;;;;;;x
ca_ani_castle_tower_16;Animal central tower XVI;Tour centrale animalière XVI;;;;;;;;;;;;x
ca_ani_fort_1;Defensives walls;Murs défensifs;;;;;;;;;;;;x
ca_ani_fort_2;Defensives walls;Murs défensifs;;;;;;;;;;;;x
ca_ani_fort_3;Defensives walls;Murs défensifs;;;;;;;;;;;;x
ca_ani_fort_4;Defensives walls;Murs défensifs;;;;;;;;;;;;x
ca_ani_siege_1;Discipline hall;Hall de commandement;;;;;;;;;;;;x
ca_ani_siege_2;Discipline hall;Hall de commandement;;;;;;;;;;;;x
ca_ani_siege_3;Discipline hall;Hall de commandement;;;;;;;;;;;;x
ca_ani_siege_4;Discipline hall;Hall de commandement;;;;;;;;;;;;x
ca_ani_garrison_1;Training ground;Camp d'entraînement;;;;;;;;;;;;x
ca_ani_garrison_2;Training ground;Camp d'entraînement;;;;;;;;;;;;x
ca_ani_garrison_3;Training ground;Camp d'entraînement;;;;;;;;;;;;x
ca_ani_garrison_4;Training ground;Camp d'entraînement;;;;;;;;;;;;x
ca_ani_trade_build_1;Trade camp;Camp de commerce;;;;;;;;;;;;x
ca_ani_trade_build_2;Trade camp;Camp de commerce;;;;;;;;;;;;x
ca_ani_trade_build_3;Trade camp;Camp de commerce;;;;;;;;;;;;x
ca_ani_trade_build_4;Trade camp;Camp de commerce;;;;;;;;;;;;x
ca_ani_build_cost_1;Castle tax post;Poste de taxes du château;;;;;;;;;;;;x
ca_ani_build_cost_2;Castle tax post;Poste de taxes du château;;;;;;;;;;;;x
ca_ani_build_cost_3;Castle tax post;Poste de taxes du château;;;;;;;;;;;;x
ca_ani_build_cost_4;Castle tax post;Poste de taxes du château;;;;;;;;;;;;x
ca_ani_desmene_1;Management office;Bureau de gestion;;;;;;;;;;;;x
ca_ani_desmene_2;Management office;Bureau de gestion;;;;;;;;;;;;x
ca_ani_desmene_3;Management office;Bureau de gestion;;;;;;;;;;;;x
ca_ani_desmene_4;Management office;Bureau de gestion;;;;;;;;;;;;x
ca_ani_prest_1;Military library;Bibliothèque militaire;;;;;;;;;;;;x
