#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

###DUCK update

DESC_EVT_099_INSPECT_STRANGE_BIRD;From your castle, you see the sea. While looking at it, you see a strange comportment from some bird looking animals at an only place;Depuis le château, il est possible de voir l'océan. Cependant, en regardant quelques minutes vers la mer, vous voyez des animaux ressemblant à des oiseaux, regrouper autour d'un point avec un comportement étrange;;;;;;;;;;;;x
OPT_1_EVT_099_GO_SEE_IT;I should see that myself;Je vais aller voir cela moi-même;;;;;;;;;;;;x
OPT_2_EVT_099_IGNORE_IT;It's my imagination;C'est juste mon imagination;;;;;;;;;;;;x
DESC_EVT_100_GO_SEE_FURTHER;When I came across those strange bird by boat, I found them to be some duck turning in circle;En m'approchant de ces étranges oiseaux en bateau, je réalise que ces oiseaux sont en réalité des canards qui tournent en cercle;;;;;;;;;;;;x
OPT_1_EVT_100_GO_BACK;I now know what bird it is, go back to land!;Maintenant que je sais que ce ne sont que des canards, je n'ai aucune raison de rester;;;;;;;;;;;;x
OPT_2_EVT_100_EXPLORE_MORE;I should see why they turn in circle;Je devrais m'approcher pour savoir pourquoi ils tournent en cercle;;;;;;;;;;;;x
DESC_EVT_101_RETURN_NORMAL;The duck ran away and nothing happened;Les canards sont partis sans que rien n'arrive;;;;;;;;;;;;x
OPT_EVT_101_NOTHIG;Then, I should return on land...;Je devrais retourner sur la terre ferme...;;;;;;;;;;;;x
DESC_EVT_102_FOG_APPEAR;While I get close to those duck, a white fog appear. Suddenly the ducks disappears;En m'approchant de ces canards, un brouillards se lève. Soudain, les canards disparaissent;;;;;;;;;;;;x
OPT_EVT_102_COUGH;Why can't I go out of the fog?!;Pourquoi est-ce impossible de quitter le brouillard?;;;;;;;;;;;;x
DESC_EVT_103_FREE_FROM_FOG;After some months, maybe years, the fog finally disappears;Après plusieurs mois, peut-être même plusieurs années, le brouillard se disperce enfin;;;;;;;;;;;;x
OPT_EVT_103_FINALLY_FREE;Why did so much thing happened?;Que s'est-til passé au juste?;;;;;;;;;;;;x
DESC_EVT_104_DUCK_FOG;the fog is starting to lift in [This.GetName]. As a duck, you have to take this opportunity to make [This.GetName] inhabited by ducks, even if seen as aggressive;Un brouillard se lève en [This.GetName]. En tant que canard, je dois utiliser cette opportunité pour rendre [This.GetName] habité par des canards, même si c'est d'une manière qui semble aggressif.;;;;;;;;;;;;x
OPT_EVT_103_FINALLY_DUCK;I have to do it!;Je dois le faire!;;;;;;;;;;;;x
DESC_EVT_106_CHANGE_DEV;After times, the development level of [This.GetName] did changed.;Après suffisemment de temps, le niveau de développement de [This.GetName] vien de changer.;;;;;;;;;;;;x
OPT1_EVT_106_DECREASE_DEV;Did it just decreased?!;Est-ce qu'il vient juste de diminuer?!;;;;;;;;;;;;x
OPT2_EVT_106_INCREASE_DEV;Did it just increased?!;Est-ce qu'il vient juste d'augmenter?;;;;;;;;;;;;x
DESC_EVT_109_START_INVESTISSMENT;As [This.GetName] start to weaken against potential enemy, it is time to make it shine!;Comme [This.GetName] commence à faiblir face aux différentes forces ennemis, il devient important d'investir pour faire briller la province à nouveau!;;;;;;;;;;;;x
OPT1_EVT109_ONE_MORE_LEVEL;A small investissment to make it famous;Un petit investissment pour que [This.GetName] soit connu;;;;;;;;;;;;x
